Symbol,Date_2,Date_3,Date_4,Date_5,Date_6,Date_7,Date_8,Date_9,Date_10,Date_11
Illinois Tool Works Inc.,94.61000061035156,81.25,130.41000366210938,155.63999938964844,154.60000610351562,180.22999572753903,227.47000122070312,215.97000122070312,233.509994506836,256.8699951171875
"Stanley Black & Decker, Inc.",94.4499969482422,95.6999969482422,127.25,152.39999389648438,149.97000122070312,148.22999572753906,209.42999267578125,102.54000091552734,83.69999694824219,102.91999816894533
Masco Corporation,21.370826721191406,24.81999969482422,34.029998779296875,40.470001220703125,39.7400016784668,48.310001373291016,58.65999984741211,56.290000915527344,53.09000015258789,81.68000030517578
CSX Corporation,11.66333293914795,7.586667060852051,16.303333282470703,18.233333587646484,26.303333282470703,24.77666664123535,31.739999771118164,34.47999954223633,31.200000762939453,33.2599983215332
"L3Harris Technologies, Inc.",69.66999816894531,84.25,111.0199966430664,160.35000610351562,177.77999877929688,209.6600036621093,224.25,239.8800048828125,173.57000732421875,248.02999877929688
Fastenal Company,23.020000457763672,18.834999084472656,25.434999465942383,26.424999237060547,34.92499923706055,42.880001068115234,54.02000045776367,55.70000076293945,54.209999084472656,76.66999816894531
Snap-on Incorporated,134.66000366210938,157.3000030517578,172.38999938964844,146.3800048828125,169.39999389648438,156.05999755859375,227.07000732421875,231.5800018310547,255.8600006103516,332.5899963378906
FedEx Corporation,176.4600067138672,126.91999816894533,195.3600006103516,234.63999938964844,187.0399932861328,149.3800048828125,299.6700134277344,233.4199981689453,261.0899963378906,275.45001220703125
"AMETEK, Inc.",49.720001220703125,47.88999938964844,55.150001525878906,75.06999969482422,87.0199966430664,95.9499969482422,136.3000030517578,129.63999938964844,151.66000366210938,168.0500030517578
"Old Dominion Freight Line, Inc.",25.85333251953125,17.333332061767578,30.74333381652832,47.58333206176758,50.01666641235352,83.43499755859375,128.80999755859375,151.61000061035156,200.3300018310547,200.8800048828125
"Axon Enterprise, Inc.",22.520000457763672,14.630000114440918,26.56999969482422,38.630001068115234,64.26000213623047,97.2699966430664,179.9199981689453,130.57000732421875,195.4199981689453,444.7699890136719
"Huntington Ingalls Industries, Inc.",104.20999908447266,123.6500015258789,212.6600036621093,254.77999877929688,207.6300048828125,206.0200042724609,204.69000244140625,236.1699981689453,201.0800018310547,255.1600036621093
"Waste Management, Inc.",48.650001525878906,51.52000045776367,72.81999969482422,83.29000091552734,106.16999816894533,113.52999877929688,143.11000061035156,175.2899932861328,156.47000122070312,208.259994506836
"Rockwell Automation, Inc.",106.87000274658205,91.68000030517578,151.8300018310547,173.2100067138672,175.8699951171875,225.57000732421875,292.9100036621094,255.9100036621093,281.3599853515625,271.3299865722656
"W.W. Grainger, Inc.",242.6499938964844,189.4199981689453,258.1600036621094,273.0299987792969,278.95001220703125,328.3800048828125,457.7000122070313,583.6799926757812,681.47998046875,1104.1300048828125
Cummins Inc.,143.97000122070312,84.3499984741211,154.50999450683594,158.75,166.1699981689453,183.8999938964844,243.27999877929688,230.2700042724609,230.77999877929688,334.6600036621094
RTX Corporation,71.42857360839844,53.88924026489258,70.79924774169922,78.842041015625,87.9798583984375,74.16000366210938,86.22000122070312,94.98999786376952,71.58000183105469,125.43000030517578
