Symbol,Date_2,Date_3,Date_4,Date_5,Date_6,Date_7,Date_8,Date_9,Date_10,Date_11
Public Service Enterprise Group Incorporated,40.93999862670898,39.59999847412109,44.33000183105469,49.31999969482422,59.2400016784668,55.5,60.70000076293945,68.80999755859375,60.52000045776367,90.41999816894533
Atmos Energy Corporation,53.880001068115234,62.970001220703125,77.04000091552734,83.12999725341797,102.08000183105467,106.02999877929688,99.44000244140624,117.66000366210938,110.8499984741211,141.49000549316406
Pinnacle West Capital Corporation,65.2699966430664,64.01000213623047,79.7699966430664,79.37000274658203,93.06999969482422,82.04000091552734,83.77999877929688,77.97000122070312,77.80999755859375,88.2300033569336
Exelon Corporation,25.63480758666992,19.586305618286133,25.62054252624512,27.43937110900879,35.47075653076172,29.85734748840332,32.29671859741211,46.25,40.209999084472656,40.22999954223633
"NRG Energy, Inc.",26.950000762939453,10.109999656677246,17.1200008392334,30.0,39.56999969482422,38.15999984741211,41.290000915527344,42.61000061035156,38.630001068115234,88.7300033569336
Duke Energy Corporation,82.25,72.08000183105469,79.08999633789062,77.0999984741211,89.80999755859375,91.91000366210938,101.52999877929688,112.02999877929688,93.33000183105467,117.05999755859376
"American Water Works Company, Inc.",52.4900016784668,60.47999954223633,74.37999725341797,80.69000244140625,106.68000030517578,132.5,162.97999572753906,158.94000244140625,132.25,138.7899932861328
CMS Energy Corporation,33.45000076293945,36.18999862670898,43.540000915527344,44.75,54.58000183105469,60.97999954223633,60.36000061035156,70.41999816894531,56.369998931884766,71.16000366210938
"NextEra Energy, Inc.",25.36000061035156,26.315000534057617,32.064998626708984,40.647499084472656,47.93000030517578,65.12000274658203,75.08999633789062,90.1999969482422,67.69999694824219,82.87000274658203
DTE Energy Company,69.77021026611328,68.544677734375,84.2127685546875,88.34893798828125,105.63404083251952,99.92340087890624,116.0,134.97000122070312,106.20999908447266,126.62999725341795
"Consolidated Edison, Inc.",63.41999816894531,67.68000030517578,74.5199966430664,77.62000274658203,85.16000366210938,77.70999908447266,73.36000061035156,100.58000183105467,90.83000183105467,104.80999755859376
"Dominion Energy, Inc.",71.87999725341797,68.87999725341797,74.76000213623047,69.22000122070312,76.9800033569336,86.4000015258789,75.55000305175781,85.62000274658203,47.75,60.119998931884766
Alliant Energy Corporation,31.8799991607666,31.209999084472656,38.43000030517578,40.52999877929688,46.68000030517578,52.31999969482422,56.93999862670898,64.26000213623047,51.25,61.13999938964844
PPL Corporation,32.58037185668945,33.290000915527344,36.02999877929688,27.89999961853028,30.739999771118164,30.64999961853028,28.3700008392334,30.82999992370605,25.1299991607666,32.709999084472656
"American Electric Power Company, Inc.",58.22999954223633,58.68999862670898,64.76000213623047,68.43000030517578,84.69999694824219,87.91000366210938,85.41000366210938,104.33000183105467,79.16999816894531,99.11000061035156
Xcel Energy Inc.,34.66999816894531,36.5,42.43000030517578,45.11000061035156,55.91999816894531,66.94999694824219,67.83999633789062,76.93000030517578,59.72999954223633,64.4800033569336
Eversource Energy,51.650001525878906,51.38999938964844,56.84000015258789,58.59000015258789,71.5199966430664,87.76000213623047,82.5,93.80999755859376,62.58000183105469,66.48999786376953
"WEC Energy Group, Inc.",50.91999816894531,52.75,58.06999969482422,62.29999923706055,77.61000061035156,95.27999877929688,92.37000274658205,106.97000122070312,85.44000244140625,97.0
PG&E Corporation,51.84999847412109,52.470001220703125,64.63999938964844,43.93999862670898,20.959999084472656,12.56999969482422,10.210000038146973,12.18000030517578,17.139999389648438,20.51000022888184
Sempra,54.165000915527344,45.994998931884766,53.2400016784668,55.59000015258789,62.98500061035156,67.3949966430664,66.72000122070312,84.79499816894531,71.81999969482422,85.16999816894531
Entergy Corporation,83.08999633789062,68.08999633789062,73.91000366210938,79.29000091552734,96.22000122070312,105.88999938964844,103.04000091552734,121.2699966430664,96.5500030517578,136.32000732421875
"Evergy, Inc.",39.400001525878906,41.20000076293945,53.34999847412109,51.68999862670898,57.540000915527344,65.0999984741211,61.900001525878906,71.12999725341797,53.61000061035156,60.970001220703125
"CenterPoint Energy, Inc.",22.64999961853028,17.299999237060547,26.61000061035156,27.09000015258789,30.75,19.09000015258789,25.209999084472656,32.5099983215332,28.299999237060547,29.75
Ameren Corporation,43.06999969482422,43.5099983215332,53.88999938964844,55.880001068115234,72.33999633789062,77.22000122070312,82.87999725341797,96.33999633789062,80.20999908447266,88.12000274658203
NiSource Inc.,16.015716552734375,19.739999771118164,22.989999771118164,23.790000915527344,27.57999992370605,25.61000061035156,25.239999771118164,31.690000534057617,26.690000534057617,35.13999938964844
FirstEnergy Corp.,37.25,31.82999992370605,31.32999992370605,34.529998779296875,41.970001220703125,43.97999954223633,37.47999954223633,40.88999938964844,36.04999923706055,43.68000030517578
Edison International,64.2300033569336,59.119998931884766,77.22000122070312,63.150001525878906,59.70000076293945,64.76000213623047,58.20000076293945,72.05999755859375,68.06999969482422,84.4800033569336
The AES Corporation,13.359999656677246,8.539999961853027,11.779999732971191,10.949999809265137,17.049999237060547,14.970000267028809,25.950000762939453,25.01000022888184,15.960000038146973,17.049999237060547
The Southern Company,47.91999816894531,47.16999816894531,48.27999877929688,44.52999877929688,52.75,60.27000045776367,61.79999923706055,79.25,69.37000274658203,91.79000091552734
