Symbol,Date_2,Date_3,Date_4,Date_5,Date_6,Date_7,Date_8,Date_9,Date_10,Date_11
"Kinder Morgan, Inc.",104.86000061035156,83.66999816894531,111.72000122070312,114.66000366210938,116.37999725341795,103.23999786376952,104.27999877929688,157.6999969482422,166.27999877929688,150.5399932861328
Targa Resources Corp.,38.119998931884766,30.850000381469727,53.84000015258789,46.880001068115234,27.739999771118164,16.399999618530273,22.420000076293945,28.200000762939453,40.630001068115234,27.88999938964844
"The Williams Companies, Inc.",55.34000015258789,39.88999938964844,60.54999923706055,29.200000762939453,23.520000457763672,19.059999465942383,23.020000457763672,24.75,35.400001525878906,37.400001525878906
Valero Energy Corporation,68.58000183105469,38.720001220703125,52.81999969482422,49.869998931884766,61.93000030517578,59.97999954223633,84.5999984741211,112.75,150.1199951171875,137.05999755859375
Phillips 66,75.01226043701172,62.68325805664063,66.9800033569336,65.81999969482422,57.34999847412109,24.39999961853028,29.989999771118164,62.970001220703125,62.88999938964844,50.630001068115234
"EOG Resources, Inc.",88.66999816894531,77.58000183105469,81.88999938964844,73.69999694824219,77.29000091552734,54.7400016784668,61.16999816894531,92.1999969482422,114.94000244140624,118.9000015258789
Exxon Mobil Corporation,63.540000915527344,39.36000061035156,48.130001068115234,59.13999938964844,61.290000915527344,50.310001373291016,59.79999923706055,101.36000061035156,119.16000366210938,103.26000213623048
Schlumberger Limited,67.11000061035156,78.47000122070312,79.02999877929688,95.70999908447266,89.0999984741211,89.7300033569336,82.4000015258789,89.87000274658203,118.58000183105467,128.88999938964844
Marathon Oil Corporation,53.650001525878906,63.15999984741211,106.83999633789062,129.17999267578125,99.12000274658205,59.81999969482422,89.83000183105469,125.7699966430664,150.57000732421875,178.19000244140625
Coterra Energy Inc,83.16999816894531,63.0099983215332,80.68000030517578,64.4800033569336,41.119998931884766,23.64999961853028,31.21999931335449,35.400001525878906,59.040000915527344,41.38999938964844
Chevron Corporation,39.43999862670898,13.0,21.989999771118164,15.09000015258789,19.36000061035156,17.969999313354492,18.520000457763672,18.56999969482422,16.600000381469727,24.799999237060547
APA Corporation,89.3499984741211,17.040000915527344,58.47999954223633,45.459999084472656,39.34000015258789,26.14999961853028,44.65999984741211,67.44000244140625,84.44000244140625,164.72000122070312
"Diamondback Energy, Inc.",44.72999954223633,16.100000381469727,28.8700008392334,25.14999961853028,27.459999084472656,21.57999992370605,26.5,34.29999923706055,33.619998931884766,52.290000915527344
Halliburton Company,26.43000030517578,8.140000343322754,16.3799991607666,15.81999969482422,15.520000457763672,8.430000305175781,13.329999923706056,23.40999984741211,26.15999984741211,26.11000061035156
Devon Energy Corporation,57.77999877929688,35.33000183105469,55.88999938964844,37.47999954223633,29.780000686645508,17.729999542236328,20.40999984741211,33.630001068115234,40.220001220703125,23.700000762939453
ConocoPhillips,42.52999877929688,41.41999816894531,50.380001068115234,72.87999725341797,58.68999862670898,42.209999084472656,58.33000183105469,98.62000274658205,153.4600067138672,151.07000732421875
EQT Corporation,46.650001525878906,66.41000366210938,66.2699966430664,92.2699966430664,88.25,75.62000274658203,71.68000030517578,117.75,145.27000427246094,132.25999450683594
Baker Hughes Company,29.51000022888184,16.40999984741211,22.93000030517578,23.790000915527344,25.11000061035156,22.3700008392334,17.690000534057617,29.350000381469727,26.049999237060547,23.76000022888184
"ONEOK, Inc.",42.18835067749024,28.57920455932617,33.97386932373047,25.83015823364257,19.71999931335449,16.889999389648438,21.39999961853028,47.11000061035156,38.45000076293945,37.310001373291016
Occidental Petroleum Corporation,54.470001220703125,24.489999771118164,45.060001373291016,31.709999084472656,30.920000076293945,15.760000228881836,28.700000762939453,64.13999938964844,46.59000015258789,38.59000015258789
Hess Corporation,86.79000091552734,62.970001220703125,99.47000122070312,106.33000183105467,89.16999816894531,62.11000061035156,83.30000305175781,113.69000244140624,122.62000274658205,122.06999969482422
Marathon Petroleum Corporation,44.650001525878906,21.940000534057617,54.220001220703125,56.959999084472656,66.8499984741211,48.040000915527344,56.91999816894531,62.959999084472656,66.19000244140625,96.0199966430664
