Symbol,Date_1,Date_2,Date_3,Date_4,Date_5,Date_6,Date_7,Date_8,Date_9,Date_10,Date_11
"AvalonBay Communities, Inc.",111.68000030517578,134.3699951171875,126.75,134.25,167.44000244140625,180.72000122070312,188.44000244140625,183.9199981689453,219.0800018310547,171.0500030517578,249.6999969482422
"AvalonBay Communities, Inc.",130.0399932861328,126.98999786376952,130.10000610351562,168.25,180.8099975585937,192.1699981689453,180.2100067138672,210.25,153.16000366210938,238.3800048828125,162.8000030517578
"AvalonBay Communities, Inc.",136.02999877929688,127.80999755859376,173.6199951171875,183.6199951171875,192.1699981689453,170.60000610351562,200.6199951171875,156.33999633789062,230.6300048828125,168.69000244140625,188.22999572753903
"Alexandria Real Estate Equities, Inc.",73.33000183105469,72.5,70.91000366210938,73.43000030517578,94.4800033569336,104.23999786376952,120.58000183105467,127.95999908447266,155.30999755859375,163.97000122070312,220.1000061035156
"Alexandria Real Estate Equities, Inc.",68.81999969482422,72.47000122070312,73.56999969482422,93.01000213623048,98.26000213623048,120.47000122070312,128.2100067138672,151.61000061035156,161.92999267578125,203.72999572753903,146.4499969482422
"Alexandria Real Estate Equities, Inc.",70.62999725341797,70.7300033569336,97.43000030517578,93.80999755859376,117.36000061035156,125.68000030517578,142.6699981689453,162.8800048828125,201.6499938964844,149.80999755859375,129.11000061035156
Equity Residential,51.20000076293945,58.65999984741211,55.59000015258789,58.2400016784668,75.08000183105469,69.0,67.23999786376953,68.0,87.75,60.33000183105469,89.37999725341797
Equity Residential,56.59999847412109,54.81999969482422,58.369998931884766,75.2699966430664,68.83999633789062,65.83000183105469,67.0,84.45999908447266,52.310001373291016,85.22000122070312,59.470001220703125
Equity Residential,57.0099983215332,56.869998931884766,78.9000015258789,71.75,65.06999969482422,63.470001220703125,78.18000030517578,56.84000015258789,84.58000183105469,62.810001373291016,61.40999984741211
Federal Realty Investment Trust,78.38999938964844,95.95999908447266,105.0,115.69000244140624,135.5800018310547,165.72999572753906,133.41000366210938,130.30999755859375,137.75,93.06999969482422,134.61000061035156
Federal Realty Investment Trust,90.75,106.98999786376952,110.6999969482422,139.5500030517578,152.38999938964844,126.38999938964844,126.23999786376952,136.17999267578125,76.18000030517578,129.85000610351562,102.5199966430664
Federal Realty Investment Trust,105.31999969482422,112.62000274658205,143.52000427246094,155.38999938964844,127.37999725341795,124.73999786376952,127.27999877929688,79.38999938964844,124.02999877929688,107.97000122070312,104.61000061035156
Iron Mountain Incorporated,22.6617374420166,28.4935302734375,33.6506462097168,25.21256828308105,36.90999984741211,39.93999862670898,37.119998931884766,35.65999984741211,32.77000045776367,26.15999984741211,52.4900016784668
Iron Mountain Incorporated,28.659889221191406,32.01478576660156,25.6746768951416,36.790000915527344,36.54999923706055,34.36000061035156,36.0099983215332,33.529998779296875,27.64999961853028,46.75,50.70000076293945
Iron Mountain Incorporated,29.648799896240234,24.71349334716797,37.59999847412109,35.0099983215332,35.08000183105469,34.900001525878906,31.09000015258789,30.06999969482422,44.880001068115234,52.56999969482422,69.87000274658203
Regency Centers Corporation,41.93000030517578,42.81999969482422,52.66999816894531,52.400001525878906,64.69000244140625,83.73999786376953,66.73999786376953,65.69000244140625,68.47000122070312,48.459999084472656,73.55000305175781
Regency Centers Corporation,37.560001373291016,50.84999847412109,50.400001525878906,65.13999938964844,76.33000183105469,62.63999938964844,63.68999862670898,68.22000122070312,38.540000915527344,73.7699966430664,62.61000061035156
Regency Centers Corporation,47.52999877929688,48.5099983215332,66.36000061035156,75.08000183105469,62.47999954223633,61.54999923706055,63.84000015258789,40.869998931884766,70.66000366210938,64.9800033569336,67.20999908447266
"Digital Realty Trust, Inc.",50.97999954223633,69.12000274658203,67.02999877929688,53.58000183105469,66.72000122070312,109.0,114.55999755859376,123.04000091552734,131.77000427246094,139.97000122070312,173.5
"Digital Realty Trust, Inc.",66.3499984741211,65.1500015258789,52.77000045776367,65.80000305175781,95.08000183105467,112.9499969482422,122.08000183105467,127.6500015258789,156.6699981689453,163.17999267578125,100.3499984741211
"Digital Realty Trust, Inc.",68.76000213623047,51.86000061035156,64.94999694824219,88.70999908447266,118.76000213623048,111.93000030517578,115.51000213623048,147.5800018310547,147.5399932861328,110.58999633789062,135.5800018310547
"BXP, Inc.",86.5,104.73999786376952,104.70999908447266,117.58999633789062,131.86000061035156,132.02999877929688,122.75,127.91999816894533,127.66000366210938,100.38999938964844,115.9000015258789
"BXP, Inc.",101.31999969482422,104.18000030517578,112.19000244140624,136.38999938964844,125.26000213623048,123.0199966430664,129.57000732421875,130.91000366210938,79.5,118.12999725341795,68.9000015258789
"BXP, Inc.",106.6500015258789,109.18000030517578,137.25,131.13999938964844,122.0,124.69000244140624,127.33999633789062,85.51000213623047,116.95999908447266,70.63999938964844,72.05999755859375
"Host Hotels & Resorts, Inc.",18.07999992370605,16.899999618530273,17.34000015258789,21.020000457763672,20.18000030517578,16.450000762939453,18.739999771118164,21.290000915527344,16.420000076293945,14.710000038146973,17.479999542236328
"Host Hotels & Resorts, Inc.",14.869999885559082,16.540000915527344,20.43000030517578,20.600000381469727,15.350000381469728,18.270000457763672,21.63999938964844,17.43000030517578,11.020000457763672,17.079999923706055,16.15999984741211
"Host Hotels & Resorts, Inc.",16.139999389648438,18.420000076293945,21.030000686645508,15.859999656677246,18.09000015258789,20.84000015258789,16.600000381469727,11.649999618530272,16.780000686645508,18.170000076293945,20.11000061035156
