Symbol,Date_1,Date_2,Date_3,Date_4,Date_5,Date_6,Date_7,Date_8,Date_9,Date_10,Date_11
eBay Inc.,11.982322692871094,13.998315811157228,21.09006690979004,23.11868667602539,24.9915828704834,23.780000686645508,36.11000061035156,34.11000061035156,39.09000015258789,49.900001525878906,65.66000366210938
eBay Inc.,13.19023609161377,23.62373733520508,24.166667938232425,23.59848594665528,24.040000915527344,34.91999816894531,33.9900016784668,40.27000045776367,55.400001525878906,73.56999969482422,40.08000183105469
eBay Inc.,22.55471420288086,22.975589752197266,25.071548461914062,24.299999237060547,35.220001220703125,36.66999816894531,38.810001373291016,53.43999862670898,74.9000015258789,44.72999954223633,43.47999954223633
Las Vegas Sands Corp.,47.72999954223633,52.54999923706055,53.4900016784668,75.7300033569336,50.54999923706055,43.709999084472656,61.06999969482422,60.5,57.34999847412109,56.68999862670898,37.869998931884766
Las Vegas Sands Corp.,44.4900016784668,53.54999923706055,83.86000061035156,56.34000015258789,46.29999923706055,63.88999938964844,69.19999694824219,59.0099983215332,45.7400016784668,40.630001068115234,48.459999084472656
Las Vegas Sands Corp.,48.75,76.97000122070312,52.90999984741211,52.5,57.95000076293945,71.2699966430664,54.52999877929688,50.84000015258789,40.09999847412109,42.369998931884766,49.040000915527344
Packaging Corporation of America,26.21999931335449,29.299999237060547,43.0,68.20999908447266,70.62000274658203,67.12999725341797,109.41999816894533,112.63999938964844,106.41000366210938,131.47000122070312,133.0
Packaging Corporation of America,25.190000534057617,39.790000915527344,70.70999908447266,77.0199966430664,67.61000061035156,111.38999938964844,110.91000366210938,104.1999969482422,118.6999969482422,134.33999633789062,129.55999755859375
Packaging Corporation of America,39.0,65.01000213623047,78.2699966430664,63.09000015258789,101.97000122070312,112.37000274658205,99.5999984741211,104.51000213623048,133.7100067138672,131.33999633789062,163.99000549316406
Carnival Corporation & plc,47.09000015258789,31.96999931335449,33.91999816894531,37.22999954223633,47.59000015258789,44.86000061035156,68.0,61.86000061035156,42.43999862670898,18.18000030517578,20.950000762939453
Carnival Corporation & plc,32.959999084472656,38.97999954223633,38.81999969482422,46.4900016784668,49.630001068115234,65.56999969482422,58.40999984741211,49.65999984741211,14.020000457763672,20.32999992370605,7.670000076293945
Carnival Corporation & plc,37.5,39.90999984741211,46.29999923706055,50.59999847412109,62.77000045776367,57.150001525878906,45.209999084472656,17.65999984741211,23.670000076293945,9.31999969482422,18.61000061035156
"O'Reilly Automotive, Inc.",58.11000061035156,84.33999633789062,104.36000061035156,147.9600067138672,222.5399932861328,274.2300109863281,205.08999633789065,347.7200012207031,407.1700134277344,442.0899963378906,692.4400024414062
"O'Reilly Automotive, Inc.",78.1500015258789,100.04000091552734,148.44000244140625,217.1499938964844,263.6300048828125,218.7400054931641,315.4700012207031,407.6799926757813,469.5,640.1699829101562,843.8400268554688
"O'Reilly Automotive, Inc.",89.87000274658203,149.1999969482422,215.0599975585937,274.3099975585937,243.8500061035156,274.5199890136719,363.6199951171875,476.2799987792969,628.989990234375,846.3900146484375,942.0599975585938
"Tapestry, Inc.",52.27999877929688,74.04000091552734,49.27000045776367,49.11000061035156,35.36000061035156,40.72999954223633,47.56999969482422,50.119998931884766,25.440000534057617,28.8700008392334,41.119998931884766
"Tapestry, Inc.",60.040000915527344,48.61000061035156,49.43999862670898,42.540000915527344,39.5099983215332,47.34000015258789,45.40999984741211,25.170000076293945,19.540000915527344,46.20000076293945,38.11000061035156
"Tapestry, Inc.",55.130001068115234,47.560001373291016,41.41999816894531,40.06999969482422,46.06999969482422,46.369998931884766,27.84000015258789,14.579999923706056,39.20000076293945,34.560001373291016,37.61000061035156
Ball Corporation,17.412500381469727,20.020000457763672,22.905000686645508,28.05500030517578,36.15499877929688,35.70500183105469,41.16999816894531,42.790000915527344,73.87000274658203,95.44000244140624,91.91999816894533
Ball Corporation,18.15999984741211,22.604999542236328,27.26499938964844,36.05500030517578,36.04499816894531,42.209999084472656,41.45000076293945,71.88999938964844,90.80999755859376,94.95999908447266,51.790000915527344
Ball Corporation,23.02499961853028,26.39999961853028,35.20500183105469,37.494998931884766,40.720001220703125,35.7599983215332,73.25,81.62000274658203,91.3000030517578,55.18999862670898,57.61000061035156
Starbucks Corporation,16.239999771118164,24.600000381469727,28.46500015258789,35.2400016784668,51.59000015258789,56.9900016784668,55.630001068115234,55.119998931884766,86.29000091552734,96.87999725341795,114.22000122070312
Starbucks Corporation,22.645000457763672,27.93000030517578,37.09000015258789,47.970001220703125,55.150001525878906,58.310001373291016,52.06999969482422,90.3499984741211,88.83000183105469,111.4499969482422,99.1999969482422
Starbucks Corporation,27.5,37.02000045776367,47.025001525878906,60.900001525878906,62.900001525878906,49.060001373291016,93.6999969482422,85.86000061035156,111.4499969482422,98.31999969482422,95.66999816894533
"AutoZone, Inc.",258.3599853515625,354.0400085449219,391.4700012207031,519.4000244140625,680.72998046875,798.719970703125,541.6599731445312,764.3200073242188,1105.1099853515625,1113.4100341796875,2047.06005859375
"AutoZone, Inc.",319.7900085449219,379.8500061035156,539.4500122070312,689.3599853515625,767.6300048828125,570.4600219726562,725.3800048828125,1152.550048828125,1193.260009765625,1864.8800048828125,2454.320068359375
"AutoZone, Inc.",356.8800048828125,534.4000244140625,665.4099731445312,777.4299926757812,607.3400268554688,667.8099975585938,1062.9200439453125,1233.0,1736.030029296875,2501.0,2569.360107421875
"Amazon.com, Inc.",9.250499725341797,9.24899959564209,12.89449977874756,16.543500900268555,21.57099914550781,36.28400039672852,49.61349868774414,99.35749816894533,89.3740005493164,154.91949462890625,169.66949462890625
