Symbol,Date_2,Date_3,Date_4,Date_5,Date_6,Date_7,Date_8,Date_9,Date_10,Date_11
Archer-Daniels-Midland Company,51.27000045776367,31.51000022888184,44.810001373291016,42.869998931884766,43.540000915527344,42.88999938964844,60.0,86.3499984741211,76.9800033569336,57.2400016784668
"PepsiCo, Inc.",96.18000030517578,93.93000030517578,109.36000061035156,107.63999938964844,126.83000183105467,132.2100067138672,149.50999450683594,180.22000122070312,175.27000427246094,169.83999633789062
"Tyson Foods, Inc.",40.61000061035156,51.4900016784668,63.310001373291016,74.02999877929688,75.12000274658203,68.66999816894531,72.55000305175781,81.08999633789062,51.119998931884766,59.20000076293945
Sysco Corporation,39.40999984741211,39.86000061035156,52.810001373291016,59.36000061035156,70.83000183105469,64.11000061035156,75.2300033569336,85.56999969482422,68.62999725341797,75.0999984741211
Molson Coors Beverage Company,73.37999725341797,86.02999877929688,100.52999877929688,74.2300033569336,59.91999816894531,43.369998931884766,52.84999847412109,55.68000030517578,63.400001525878906,56.0099983215332
"Dollar Tree, Inc.",67.19999694824219,75.30000305175781,79.76000213623047,93.62999725341795,109.4499969482422,93.7300033569336,98.9499969482422,168.17999267578125,104.5,66.26000213623047
Philip Morris International Inc.,85.5999984741211,86.29000091552734,104.55999755859376,96.7300033569336,84.91999816894531,77.69999694824219,98.5500030517578,101.16999816894533,94.93000030517578,130.5
Keurig Dr Pepper Inc.,71.23999786376953,89.16000366210938,94.56999969482422,118.27999877929688,28.950000762939453,28.43000030517578,34.97999954223633,40.04999923706055,33.119998931884766,33.86000061035156
"McCormick & Company, Incorporated",36.244998931884766,41.85499954223633,49.2599983215332,53.67499923706055,76.41500091552734,86.38500213623047,86.69000244140625,92.58000183105467,76.55000305175781,78.33000183105469
Brown-Forman Corporation,35.152000427246094,36.79999923706055,38.71200180053711,53.34999847412109,51.97999954223633,67.91000366210938,73.27999877929688,77.66000366210938,60.5099983215332,48.34999847412109
"Mondelez International, Inc.",38.11000061035156,40.310001373291016,44.970001220703125,40.90999984741211,51.47999954223633,53.61000061035156,62.95000076293945,65.51000213623047,70.43000030517578,69.54000091552734
Monster Beverage Corporation,17.751667022705078,23.52166748046875,21.9950008392334,28.125,28.9950008392334,35.20000076293945,45.584999084472656,45.755001068115234,54.52000045776367,53.09999847412109
Dollar General Corporation,68.88999938964844,68.87999725341797,77.86000061035156,92.43000030517578,124.62999725341795,186.0,219.4600067138672,255.5399932861328,108.13999938964844,81.0999984741211
The Coca-Cola Company,41.59999847412109,41.5,41.459999084472656,42.88999938964844,48.38999938964844,49.84999847412109,54.47999954223633,64.87999725341797,57.59999847412109,66.66999816894531
"Conagra Brands, Inc.",28.63813209533692,30.381322860717773,40.20000076293945,36.29999923706055,29.950000762939453,33.93000030517578,35.93000030517578,35.22999954223633,28.86000061035156,29.76000022888184
The Estée Lauder Companies Inc.,73.44999694824219,82.3499984741211,84.63999938964844,146.69000244140625,170.25,204.83999633789065,320.4800109863281,276.5199890136719,147.6199951171875,88.72000122070312
Costco Wholesale Corporation,140.25,150.38999938964844,176.94000244140625,183.1499938964844,242.69000244140625,307.19000244140625,407.8800048828125,556.3200073242188,558.5900268554688,890.9600219726562
Kellanova,60.8356819152832,66.3568115234375,70.17840576171875,60.45070266723633,53.87793350219727,63.0704231262207,59.87793350219727,71.10797882080078,56.53520965576172,80.5999984741211
"Church & Dwight Co., Inc.",38.3849983215332,39.46500015258789,49.61000061035156,48.15999984741211,74.66000366210938,74.75,86.5199966430664,88.25,94.69000244140624,101.0500030517578
Bunge Global SA,90.33999633789062,61.79999923706055,78.44000244140625,72.61000061035156,51.130001068115234,43.810001373291016,77.52999877929688,100.0999984741211,110.4000015258789,89.87000274658203
Hormel Foods Corporation,25.709999084472656,38.060001373291016,37.59999847412109,33.56999969482422,39.70000076293945,48.11000061035156,47.040000915527344,50.81999969482422,38.90999984741211,30.940000534057617
"General Mills, Inc.",51.9900016784668,54.7400016784668,61.02000045776367,45.310001373291016,51.2599983215332,62.13999938964844,59.27000045776367,77.13999938964844,64.81999969482422,68.2699966430664
"Altria Group, Inc.",49.9900016784668,57.20000076293945,73.6500015258789,60.720001220703125,53.15999984741211,42.83000183105469,47.4900016784668,45.45000076293945,42.33000183105469,50.25
Walmart Inc.,27.65999984741211,20.6433334350586,23.81666755676269,28.683332443237305,33.71666717529297,40.413333892822266,46.68333435058594,46.50666809082031,54.11666870117188,82.75
Colgate-Palmolive Company,68.87000274658203,63.34999847412109,73.18000030517578,69.27999877929688,71.81999969482422,73.51000213623047,82.93000030517578,82.16999816894531,72.44999694824219,95.73999786376952
The Procter & Gamble Company,90.0,74.9800033569336,91.66999816894533,77.79000091552734,105.55999755859376,119.0500030517578,137.13999938964844,149.24000549316406,151.5800018310547,169.3000030517578
The Clorox Company,99.48999786376952,126.86000061035156,135.44000244140625,126.37999725341795,148.74000549316406,198.759994506836,179.8000030517578,148.63999938964844,132.66000366210938,157.72000122070312
The J. M. Smucker Company,100.2300033569336,118.26000213623048,141.9199981689453,122.41000366210938,122.93000030517578,111.16000366210938,130.39999389648438,139.3800048828125,126.58999633789062,115.45999908447266
Campbell Soup Company,44.06999969482422,52.9900016784668,58.95000076293945,42.68999862670898,37.90999984741211,49.88999938964844,45.54999923706055,50.68999862670898,42.61000061035156,47.630001068115234
The Kroger Co.,30.68000030517578,38.4900016784668,34.220001220703125,23.46999931335449,25.780000686645508,33.0099983215332,38.310001373291016,48.54999923706055,45.65999984741211,57.11000061035156
"Constellation Brands, Inc.",92.45999908447266,142.75,160.08999633789062,218.47000122070312,209.1199951171875,185.92999267578125,226.4600067138672,250.1499938964844,256.0299987792969,237.509994506836
Kimberly-Clark Corporation,113.16999816894533,125.36000061035156,134.63999938964844,107.5,127.26000213623048,138.9199981689453,134.6999969482422,136.8300018310547,123.97000122070312,135.6199951171875
Target Corporation,72.91000366210938,70.08000183105469,66.20999908447266,68.51000213623047,76.41999816894531,122.37000274658205,252.2400054931641,175.33999633789062,112.5999984741211,149.3000030517578
The Hershey Company,98.58000183105467,83.31999969482422,108.4800033569336,97.79000091552734,122.54000091552734,135.6699981689453,176.82000732421875,230.47999572753903,207.94000244140625,182.8500061035156
