Symbol,Date_2,Date_3,Date_4,Date_5,Date_6,Date_7,Date_8,Date_9,Date_10,Date_11
"Advanced Micro Devices, Inc.",2.4800000190734863,2.0299999713897705,14.0,10.0,28.290000915527344,52.970001220703125,90.80999755859376,98.2699966430664,96.1999969482422,159.9199981689453
"Automatic Data Processing, Inc.",84.12999725341797,77.91999816894531,99.22000122070312,112.26000213623048,158.4199981689453,161.14999389648438,203.75,260.69000244140625,239.3500061035156,286.44000244140625
"Analog Devices, Inc.",55.63999938964844,49.81999969482422,82.81999969482422,91.0500030517578,116.95999908447266,123.70999908447266,167.5500030517578,170.1300048828125,175.47999572753906,230.13999938964844
"Gartner, Inc.",83.87999725341797,86.04000091552734,103.37999725341795,117.61000061035156,157.9600067138672,137.69000244140625,256.6400146484375,314.04998779296875,356.260009765625,514.6699829101562
"Leidos Holdings, Inc.",42.720001220703125,54.97999954223633,52.65999984741211,64.5,73.13999938964844,106.54000091552734,105.08999633789062,101.1500015258789,91.12999725341795,169.72999572753906
Amphenol Corporation,13.454999923706056,11.3725004196167,17.395000457763672,21.397499084472656,24.78499984741211,26.020000457763672,35.185001373291016,39.81999969482422,41.665000915527344,68.68000030517578
"Skyworks Solutions, Inc.",68.5199966430664,60.66999816894531,96.56999969482422,101.5199966430664,90.79000091552734,134.74000549316406,191.1999969482422,108.77999877929688,96.41999816894533,96.13999938964844
"Tyler Technologies, Inc.",112.58000183105467,158.85000610351562,156.47999572753906,209.0800018310547,216.02999877929688,358.1700134277344,477.260009765625,404.4500122070313,388.5799865722656,605.3900146484375
"Palo Alto Networks, Inc.",39.04666519165039,51.606666564941406,51.93333435058594,59.81333160400391,82.24333190917969,79.26333618164062,129.50999450683594,171.50332641601562,228.509994506836,362.3500061035156
Accenture plc,83.7300033569336,99.2699966430664,122.0999984741211,148.86000061035156,179.38999938964844,211.27999877929688,311.57000732421875,318.45001220703125,316.0899963378906,361.3200073242188
Teledyne Technologies Incorporated,103.16000366210938,77.62999725341797,134.67999267578125,186.0399932861328,244.3800048828125,380.4400024414063,426.8599853515625,399.989990234375,417.8800048828125,466.7200012207031
Fair Isaac Corporation,71.94999694824219,85.48999786376953,131.22000122070312,165.75,272.5,411.8999938964844,517.7000122070312,499.1799926757813,889.510009765625,1996.8800048828125
"Motorola Solutions, Inc.",63.52000045776367,61.59000015258789,80.1500015258789,105.93000030517578,142.35000610351562,158.32000732421875,223.22999572753903,255.4199981689453,277.739990234375,457.3900146484375
Texas Instruments Incorporated,54.09999847412109,48.02999877929688,77.08000183105469,102.55999755859376,117.45999908447266,132.86000061035156,191.9199981689453,176.7100067138672,160.30999755859375,205.8300018310547
"Fiserv, Inc.",34.720001220703125,43.66999816894531,56.19499969482422,70.27999877929688,85.45999908447266,106.87999725341795,108.83000183105467,108.72000122070312,116.08000183105467,201.4199981689453
"Paychex, Inc.",46.61000061035156,46.70000076293945,59.09999847412109,59.84000015258789,82.77999877929688,80.31999969482422,111.66999816894533,138.6199951171875,112.9499969482422,140.27000427246094
"Juniper Networks, Inc.",21.43000030517578,25.739999771118164,28.690000534057617,24.25,27.8700008392334,25.450000762939453,27.31999969482422,28.81999969482422,27.93000030517578,39.02000045776367
Microsoft Corporation,46.900001525878906,50.9900016784668,64.48999786376953,89.47000122070312,126.20999908447266,188.3600006103516,277.32000732421875,291.32000732421875,317.010009765625,426.5899963378906
"Micron Technology, Inc.",34.86000061035156,11.079999923706056,23.770000457763672,52.400001525878906,42.560001373291016,53.70000076293945,79.55999755859375,61.619998931884766,68.87999725341797,106.38999938964844
Jabil Inc.,20.030000686645508,19.299999237060547,26.200000762939453,28.63999938964844,30.51000022888184,34.86000061035156,57.93999862670898,63.08000183105469,107.5999984741211,124.79000091552734
Intuit Inc.,92.55999755859376,91.48999786376952,119.87000274658205,173.25,245.9499969482422,293.04998779296875,505.1000061035156,478.2999877929688,508.5700073242188,612.0900268554688
"Enphase Energy, Inc.",12.75,2.190000057220459,1.690000057220459,5.079999923706055,12.93000030517578,52.900001525878906,185.72000122070312,293.1300048828125,119.91999816894533,84.68000030517578
Zebra Technologies Corporation,75.4800033569336,56.54999923706055,86.68000030517578,135.4600067138672,205.94000244140625,277.0599975585937,548.0999755859375,340.45001220703125,227.1499938964844,363.5799865722656
"First Solar, Inc.",43.06999969482422,61.31999969482422,36.619998931884766,71.51000213623047,59.86000061035156,54.43999862670898,94.29000091552734,116.3000030517578,162.4499969482422,205.02999877929688
Apple Inc.,27.987499237060547,24.28249931335449,34.17499923706055,42.084999084472656,52.28749847412109,83.36499786376953,144.5,174.5500030517578,174.7899932861328,233.3999938964844
CDW Corporation,34.0,37.09000015258789,59.63999938964844,70.20999908447266,107.72000122070312,128.2899932861328,176.3300018310547,182.6199951171875,205.759994506836,218.5
"Monolithic Power Systems, Inc.",49.0,57.41999816894531,88.22000122070312,115.72000122070312,156.1699981689453,229.63999938964844,386.9500122070313,520.5,449.2900085449219,890.4600219726562
"Applied Materials, Inc.",23.780000686645508,16.079999923706055,36.58000183105469,55.43999862670898,43.70000076293945,59.900001525878906,136.8000030517578,106.0,136.1699981689453,185.33999633789065
Lam Research Corporation,7.96999979019165,6.796000003814697,11.781999588012695,20.261999130249023,20.68400001525879,29.75900077819824,62.54199981689453,49.75600051879883,61.9109992980957,75.44999694824219
"Synopsys, Inc.",43.18999862670898,40.959999084472656,70.9800033569336,82.88999938964844,120.6999969482422,186.82000732421875,278.5599975585937,381.0,446.8500061035156,496.1799926757813
