Symbol,Date_1,Date_2,Date_3,Date_4,Date_5,Date_6,Date_7,Date_8,Date_9,Date_10,Date_11
Electronic Arts Inc.,16.3799991607666,17.8700008392334,18.709999084472656,27.979999542236328,63.86000061035156,75.87000274658203,116.95999908447266,112.29000091552734,96.76000213623048,121.86000061035156,133.0399932861328
Electronic Arts Inc.,21.299999237060547,16.8700008392334,30.100000381469727,57.290000915527344,74.94000244140625,105.72000122070312,129.02999877929688,99.5,131.33999633789062,126.27999877929688,120.81999969482422
Electronic Arts Inc.,14.550000190734863,27.200000762939453,55.81999969482422,66.19000244140625,113.83000183105467,143.47999572753906,88.58999633789062,128.6999969482422,134.75,127.86000061035156,137.2899932861328
"Match Group, Inc.",8.403768539428711,12.955453872680664,12.304396629333496,19.743003845214844,21.69902992248535,15.539999961853027,18.790000915527344,54.650001525878906,75.80000305175781,138.22999572753906,134.00999450683594
"Match Group, Inc.",12.14163303375244,12.527127265930176,21.267847061157227,20.396915435791016,14.25,17.3799991607666,38.40999984741211,75.54000091552734,111.16999816894533,137.00999450683594,39.18000030517578
"Match Group, Inc.",13.420902252197266,19.12335777282715,19.29183387756348,11.484999656677246,19.440000534057617,39.47999954223633,71.41000366210938,105.55999755859376,160.02000427246094,46.97999954223633,35.380001068115234
AT&T Inc.,22.567975997924805,22.65105628967285,27.303625106811523,27.23564910888672,26.39728164672852,32.83232498168945,29.093656539916992,24.67522621154785,28.55740165710449,21.61631393432617,18.71601104736328
AT&T Inc.,22.945619583129883,26.638973236083984,24.84139060974121,24.79607391357422,29.1691837310791,28.496978759765625,24.25226593017578,28.383686065673828,20.732627868652344,18.65558815002441,18.459999084472656
AT&T Inc.,26.43504524230957,24.39576911926269,24.969789505004883,29.39576911926269,28.874622344970703,24.327795028686523,25.2945613861084,22.18277931213379,19.41087532043457,18.84000015258789,16.56999969482422
"Warner Bros. Discovery, Inc.",21.17015838623047,23.00459861755371,39.555442810058594,39.57588195800781,33.099998474121094,25.25,24.25,28.51000022888184,27.88999938964844,26.5,24.36000061035156
"Warner Bros. Discovery, Inc.",20.88400650024414,36.085845947265625,42.46295547485352,33.959999084472656,27.0,25.82999992370605,26.920000076293945,28.43000030517578,20.96999931335449,25.709999084472656,9.229999542236328
"Warner Bros. Discovery, Inc.",33.45937728881836,42.28921890258789,32.599998474121094,28.34000015258789,25.600000381469727,27.420000076293945,29.18000030517578,23.059999465942383,24.82999992370605,10.5600004196167,11.5
"The Interpublic Group of Companies, Inc.",10.470000267028809,10.8100004196167,13.119999885559082,16.8700008392334,20.75,23.190000534057617,21.549999237060547,22.51000022888184,20.770000457763672,22.09000015258789,37.88999938964844
"The Interpublic Group of Companies, Inc.",10.15999984741211,12.079999923706056,17.1200008392334,20.86000061035156,23.540000915527344,24.600000381469727,22.25,21.6299991607666,17.959999084472656,34.31999969482422,33.599998474121094
"The Interpublic Group of Companies, Inc.",11.630000114440918,16.600000381469727,21.90999984741211,23.40999984741211,24.700000762939453,23.030000686645508,21.15999984741211,17.200000762939453,38.220001220703125,32.79999923706055,33.11000061035156
Verizon Communications Inc.,37.15999984741211,37.91999816894531,48.75,47.97999954223633,49.56999969482422,56.22999954223633,48.86000061035156,54.720001220703125,60.40999984741211,60.22999954223633,52.68000030517578
Verizon Communications Inc.,39.72999954223633,44.459999084472656,46.310001373291016,49.380001068115234,49.84999847412109,44.65999984741211,52.47999954223633,59.709999084472656,58.15999984741211,51.540000915527344,39.25
Verizon Communications Inc.,44.27000045776367,46.810001373291016,49.27000045776367,52.08000183105469,45.310001373291016,50.41999816894531,55.220001220703125,60.040000915527344,52.27000045776367,38.619998931884766,37.47999954223633
Alphabet Inc.,14.996788024902344,15.229415893554688,20.11933708190918,26.358631134033203,26.989500045776367,34.96049880981445,46.46799850463867,58.86800003051758,62.65349960327149,86.74299621582031,148.06399536132812
Alphabet Inc.,16.573129653930664,19.27649688720703,29.69120979309082,26.695707321166992,36.26350021362305,45.436500549316406,61.23849868774414,60.29999923706055,77.95649719238281,147.07850646972656,87.93000030517578
Alphabet Inc.,18.013729095458984,29.326078414916992,27.649587631225582,37.69649887084961,48.47700119018555,56.37300109863281,57.61600112915039,77.8479995727539,141.6750030517578,95.83000183105467,142.82000732421875
Paramount Global,19.420000076293945,29.770000457763672,46.540000915527344,59.709999084472656,62.650001525878906,54.86000061035156,64.5199966430664,55.400001525878906,37.77999877929688,34.619998931884766,30.1200008392334
Paramount Global,27.270000457763672,42.45000076293945,65.83999633789062,61.20000076293945,53.93000030517578,63.77999877929688,52.84999847412109,44.459999084472656,27.82999992370605,33.540000915527344,16.520000457763672
Paramount Global,39.29999923706055,60.5,62.08000183105469,54.959999084472656,61.59999847412109,55.97999954223633,49.060001373291016,28.709999084472656,38.91999816894531,18.520000457763672,15.020000457763672
Omnicom Group Inc.,46.290000915527344,47.90999984741211,58.95000076293945,71.48999786376953,75.62999725341797,81.69000244140625,79.05999755859375,68.80999755859375,76.02999877929688,61.09999847412109,72.94999694824219
Omnicom Group Inc.,45.0,54.25,72.80000305175781,77.87999725341797,82.05999755859375,82.9000015258789,67.70999908447266,82.05999755859375,52.790000915527344,68.0999984741211,81.37999725341797
Omnicom Group Inc.,51.459999084472656,74.19999694824219,77.98999786376953,84.73999786376953,83.5999984741211,75.5,76.79000091552734,53.0,76.56999969482422,76.56999969482422,86.69999694824219
"Live Nation Entertainment, Inc.",11.399999618530272,10.550000190734863,11.960000038146973,20.850000381469727,28.84000015258789,23.520000457763672,37.88999938964844,51.459999084472656,68.5,68.30000305175781,120.19000244140624
