Symbol,Date_1,Date_2,Date_3,Date_4,Date_5,Date_6,Date_7,Date_8,Date_9,Date_10,Date_11
Jabil Inc.,20.799999237060547,24.8700008392334,19.32999992370605,17.530000686645508,24.65999984741211,18.6200008392334,31.030000686645508,29.489999771118164,36.40999984741211,38.380001068115234,71.30000305175781
Jabil Inc.,20.11000061035156,19.3700008392334,18.0,23.34000015258789,18.5,29.190000534057617,28.40999984741211,31.63999938964844,36.22999954223633,62.25,68.94999694824219
Jabil Inc.,19.600000381469727,18.010000228881836,22.21999931335449,18.059999465942383,29.86000061035156,27.64999961853028,27.88999938964844,31.26000022888184,62.36000061035156,69.22000122070312,128.4499969482422
"Paychex, Inc.",30.75,31.68000030517578,33.790000915527344,40.84000015258789,49.720001220703125,59.43999862670898,55.93999862670898,74.55000305175781,84.7300033569336,91.97000122070312,135.63999938964844
"Paychex, Inc.",30.43000030517578,33.220001220703125,42.2400016784668,48.97999954223633,53.66999816894531,56.93999862670898,70.4000015258789,80.73999786376953,83.27999877929688,124.37999725341795,115.12999725341795
"Paychex, Inc.",31.850000381469727,40.900001525878906,51.0099983215332,53.560001373291016,59.11000061035156,68.04000091552734,80.87999725341797,75.77999877929688,119.1500015258789,121.5500030517578,120.18000030517578
KLA Corporation,38.47999954223633,50.77000045776367,51.72999954223633,66.4000015258789,59.97999954223633,72.5,92.01000213623048,105.62000274658205,161.50999450683594,250.2400054931641,440.1700134277344
KLA Corporation,47.459999084472656,56.790000915527344,67.77999877929688,58.560001373291016,71.7300033569336,91.51000213623048,118.2699966430664,148.75,213.08999633789065,407.8999938964844,371.1000061035156
KLA Corporation,49.56999969482422,62.2400016784668,61.91999816894531,73.12000274658203,104.8499984741211,103.8000030517578,126.45999908447266,174.4600067138672,329.1000061035156,372.1099853515625,591.3699951171875
"Advanced Micro Devices, Inc.",8.770000457763672,7.239999771118164,2.650000095367432,4.119999885559082,2.2799999713897705,5.070000171661377,13.43000030517578,30.100000381469727,31.13999938964844,85.30999755859375,154.36000061035156
"Advanced Micro Devices, Inc.",5.480000019073486,2.569999933242798,3.799999952316284,2.490000009536743,4.179999828338623,12.479999542236328,19.43000030517578,30.229999542236328,83.12999725341797,152.52000427246094,63.27000045776367
"Advanced Micro Devices, Inc.",2.5299999713897705,3.470000028610229,2.759999990463257,2.619999885559082,10.979999542236328,15.15999984741211,27.989999771118164,81.91000366210938,112.12000274658205,72.45999908447266,143.41000366210938
"VeriSign, Inc.",33.20000076293945,36.869998931884766,45.22999954223633,50.58000183105469,64.4800033569336,85.33999633789062,99.31999969482422,161.6199951171875,186.5500030517578,196.57000732421875,252.0
"VeriSign, Inc.",35.81999969482422,44.97999954223633,51.68000030517578,66.48999786376953,84.30999755859375,92.95999908447266,152.05999755859375,196.7100067138672,208.6000061035156,241.5,204.07000732421875
"VeriSign, Inc.",39.84999847412109,52.68000030517578,64.05000305175781,88.79000091552734,90.66999816894533,140.22000122070312,200.3000030517578,200.3300018310547,214.47000122070312,195.509994506836,206.8300018310547
Intuit Inc.,49.290000915527344,57.59999847412109,65.41000366210938,74.0,105.19000244140624,111.91000366210938,136.64999389648438,226.0200042724609,266.5299987792969,343.3299865722656,652.77001953125
Intuit Inc.,52.459999084472656,62.25,80.55000305175781,96.6500015258789,105.0199966430664,132.80999755859375,207.47999572753903,267.5599975585937,341.9700012207031,661.6300048828125,383.1099853515625
Intuit Inc.,61.95000076293945,71.44999694824219,99.37999725341795,103.91999816894533,138.36000061035156,205.44000244140625,263.5299987792969,328.2099914550781,552.1599731445312,375.0,624.8499755859375
Garmin Ltd.,31.06999969482422,43.47999954223633,34.36000061035156,56.5099983215332,45.459999084472656,42.470001220703125,52.09999847412109,68.4000015258789,87.48999786376953,114.66000366210938,135.94000244140625
Garmin Ltd.,39.59999847412109,38.15999984741211,53.369998931884766,47.56999969482422,41.290000915527344,51.02999877929688,64.55000305175781,83.91000366210938,99.02999877929688,142.5,91.77999877929688
Garmin Ltd.,42.150001525878906,45.52999877929688,48.7400016784668,42.59999847412109,52.08000183105469,60.91999816894531,75.3499984741211,101.13999938964844,156.1300048828125,90.4499969482422,128.91000366210938
Texas Instruments Incorporated,32.66999816894531,33.79999923706055,34.619998931884766,46.11000061035156,55.970001220703125,62.11000061035156,82.16999816894531,106.0500030517578,130.1300048828125,157.4199981689453,191.83999633789065
Texas Instruments Incorporated,29.76000022888184,33.41999816894531,45.27000045776367,58.16999816894531,60.43999862670898,76.93000030517578,113.11000061035156,127.04000091552734,152.5500030517578,192.5,163.77999877929688
Texas Instruments Incorporated,32.310001373291016,41.95000076293945,58.33000183105469,58.41999816894531,80.79000091552734,110.23999786376952,116.93000030517578,139.67999267578125,194.4499969482422,172.39999389648438,170.80999755859375
"Leidos Holdings, Inc.",39.40740585327149,31.62962913513184,31.20987701416016,37.25,42.52999877929688,48.68999862670898,56.34999847412109,70.20999908447266,81.70999908447266,102.37999725341795,87.87000274658203
"Leidos Holdings, Inc.",31.11111068725586,29.97530937194824,42.4900016784668,41.650001525878906,49.4900016784668,51.68999862670898,69.68000030517578,83.98999786376953,87.77999877929688,93.38999938964844,105.91000366210938
"Leidos Holdings, Inc.",28.296295166015625,44.7599983215332,44.150001525878906,51.630001068115234,55.130001068115234,59.380001068115234,78.9800033569336,87.16999816894531,100.29000091552734,107.68000030517578,107.9000015258789
"Skyworks Solutions, Inc.",29.6299991607666,24.549999237060547,21.56999969482422,37.02000045776367,108.62999725341795,62.59999847412109,104.5,85.83000183105469,87.55000305175781,138.02999877929688,155.36000061035156
